nume,oras,lat,long
C.M.I Oftalmologic Dr. Paris Cristina,Călărași,44.1938835,27.3257251
Maternitatea Râmnicu Vâlcea,Râmnicu Vâlcea,45.1060512,24.3789597
Spitalul de bolii cronice Crasna,Crasna,47.161853,22.8801958
Dispensar Frâncești,Frâncești,44.9990222,24.1861586
Baza de tratament Bălțătești,Bălțătești,47.1195262,26.3096726
Dispensarul Uman Saru Dornei,Șaru Dornei,47.2903079,25.3715301
Spitalul Clinic Județean - Secțiile O.R.L. și Oftalmologie,Arad,46.1795171,21.3174562
Unitatea de Asistență Medico-Socială de Pneumoftiziologie Sânpetru,Sânpetru,45.7220405,25.6481657
Life Memorial Hospital,București,44.4652048,26.0541426
Mediurg,Câmpina,45.1200317,25.7386756
Dispensar,Vârșolț,47.2084919,22.9127732
Dispensar Deleni,Deleni,47.4559039,26.8822403
Optica Medicală,Mangalia,43.8108015,28.5820889
Dispennsarul 2,Mangalia,43.8138072,28.5761764
Dispensar Medical Vasile Aaron,Sibiu,45.7855841,24.1694316
Dispensar Câineni,Câinenii Mici,45.4938556,24.309386
Direcția de Sănătate Publică Calafat,Calafat,43.9948272,22.9406766
Spitalul Orășenesc Strehaia,Strehaia,44.622091,23.1912564
Dispensarul uman Archiș,Archiș,46.4775708,22.0539667
Dispensarul uman Albac,Albac,46.4505639,22.9613765
FizioLife - Recuperare,Câmpineanca,45.7253265,27.1247702
Spital Jibou,Jibou,47.2590218,23.2522905
Dispensar Gușoianca,Gusoianca,44.7472573,24.1104331
Cabinet veterinar dr. Silvia Tiolan,Galați,45.4308919,28.0447884
FizioMed Expert,Hălăucești,47.0942734,26.8134646
Spital TBC,Drobeta-Turnu Severin,44.6245832,22.6404649
Spitalul Municipal Dorohoi,Dorohoi,47.9475512,26.4039705
Centrul Medical Recumed,București,44.4513731,26.0919471
Unitatea Primire Urgențe UPU,Negrești-Oaș,47.8722173,23.4284725
Sanatoriul 1 Mai,Băile Olănești,45.1980033,24.2479884
Cabinet medical Psihomedicus Clinic,Focșani,45.6961611,27.1825962
Spitalul de pneumoftiziologie Drajna,Drajna de Jos,45.2221011,26.0502313
UMF - Centrul de Imagistică,Craiova,44.3049118,23.7944514
Dispensar Buleta,Buleta,45.0386697,24.2539393
Spitalul Orășenesc Turceni,Turceni,44.681059,23.3702138
Policlinica 2,Târgu Mureș,46.5392001,24.561277
Spitalul Sf. Sava - Buzău,Pătârlagele,45.3185738,26.3605257
Maison Des Dents,București,44.4399941,26.1253709
Dispensarul Uman Berislăvești,Stoenești,45.2607019,24.4256023
Medinvest Spital,Mărăcineni,45.1854208,26.832621
Centrul de Permanență MEDFAM Astra,Brașov,45.6451144,25.6279128
Spitalul Orășenesc Dr. Ioan Pușcaș,Șimleu Silvaniei,47.2254195,22.8039526
Spitalul de Recuperare,Băile Felix,46.9903961,21.9831887
"Centrul de Oncologie ""Sfântul Nectarie""",Craiova,44.3001909,23.8287155
Centrul Medical Promed,Deva,45.8690084,22.9133918
Clinica Ortopedicum,București,44.461389,26.1003328
Centrul de Permanență Vaduri,Alexandru cel Bun,46.9340255,26.2534631
Clinica stomatologica non-stop,București,44.4145595,26.0768039
S.C. Almarom 2001 S.R.L.,Slobozia,44.5594718,27.365433
CMI NEUROLOGIE DR. TOMESCU V. ELENA,Popești-Leordeni,44.3816078,26.1635151
Dispensarul Stroiești,Stroiești,47.6147806,26.1311258
